WBS ID,Title,Description,Phase,Type,Status,Assignee,Start date,Due date,Effort,Priority,Blocked by,Deliverable,Deliverable type,Repo / Path,Technical Difficulty,Is risk ?,Murphy ID,Risk – Cause,Risk – Effect,Risk – Category,Probability,Impact / Gravité,Risk score,Response strategy,Mitigation plan,Contingency plan,Risk owner,Workstream,Review needed ?,Links
,Chemin Physionet codé en dur dépendant du home local,"Cause: Utilisation de chemins absolus utilisateur dans le code | Symptômes: FileNotFoundError dès qu’un autre utilisateur lance le script | Détection: Rechercher '/' + login dans le code, ex: '/home/user/' | Prévention: Utiliser des chemins relatifs à data/ + variables d’env | Test: Changer d’utilisateur (autre login 42) et lancer train",1 – Acquisition données,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-011,Utilisation de chemins absolus utilisateur dans le code,Impossibilité de lancer sur machine 42 ou autre login,EEG / Signal,4 – Probable,4 – Critique,16,,Utiliser des chemins relatifs à data/ + variables d’env,"Rechercher '/' + login dans le code, ex: '/home/user/'",,R&D EEG,Pas de review,
,Utilisation d’un format de fichier différent de celui du subject,"Cause: Téléchargement manuel d’une autre version des data | Symptômes: MNE lève une erreur ou les events ne correspondent pas | Détection: Comparer checksum data avec celui recommandé Physionet | Prévention: Documenter la version et le téléchargement dans README | Test: Supprimer data/, re-télécharger via script documenté",1 – Acquisition données,Risk,In progress,,,,,Should,,,,,,Yes,TPV-012,Téléchargement manuel d’une autre version des data,Pipeline entrainé sur un dataset non conforme à la défense,EEG / Signal,2 – Peu probable,4 – Critique,8,,Documenter la version et le téléchargement dans README,Comparer checksum data avec celui recommandé Physionet,,R&D EEG,Pas de review,
,Mauvais montage (montage EEG standard non appliqué),"Cause: Ignorance de la notion de montage dans MNE | Symptômes: Topographies incohérentes, canaux mal positionnés | Détection: Inspecter raw.get_montage() et info['chs'] | Prévention: Appliquer un montage standard adapté (ex: standard_1020) | Test: Tracer les capteurs sur scalp et vérifier la cohérence",1 – Acquisition données,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-013,Ignorance de la notion de montage dans MNE,Features spatiales non pertinentes pour CSP et co.,EEG / Signal,3 – Possible,3 – Important,9,,Appliquer un montage standard adapté (ex: standard_1020),Inspecter raw.get_montage() et info['chs'],,R&D EEG,Pas de review,
,Channels EOG/EMG non retirés avant traitement,Cause: Parsing naïf de tous les channels disponibles | Symptômes: Artefacts oculaires/musculaires dominent la variance | Détection: Vérifier les channel types via raw.get_channel_types() | Prévention: Sélectionner uniquement les canaux EEG utiles | Test: Refaire l’entraînement avec et sans canaux EOG/EMG,1 – Acquisition données,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-014,Parsing naïf de tous les channels disponibles,Dimensionalité réduction/apprentissage biaisés,EEG / Signal,3 – Possible,4 – Critique,12,,Sélectionner uniquement les canaux EEG utiles,Vérifier les channel types via raw.get_channel_types(),,R&D EEG,Pas de review,
,Supposition d’un fs fixe sans le lire dans MNE,Cause: Hardcoding d’une fréquence d’échantillonnage | Symptômes: Filtres et fenêtrage incohérents avec le vrai fs | Détection: Afficher raw.info['sfreq'] avant tout prétraitement | Prévention: Toujours paramétrer les filtres à partir de fs réel | Test: Changer de dataset Physionet et vérifier robustesse du code,1 – Acquisition données,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-015,Hardcoding d’une fréquence d’échantillonnage,"Risque de filtrage aberrant, aliasing, features invalides",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Toujours paramétrer les filtres à partir de fs réel,Afficher raw.info['sfreq'] avant tout prétraitement,,R&D EEG,Pas de review,
,Segments marqués 'bad' dans MNE non exclus,"Cause: Utilisation directe de raw sans tenir compte des annotations | Symptômes: Epochs contenant des artéfacts extrêmes, saturations | Détection: Inspecter raw.annotations et epochs.drop_log | Prévention: Dropper les epochs marqués bad avant features | Test: Comparer accuracy avec et sans exclusion des bad epochs",1 – Acquisition données,Risk,In progress,,,,,Must,,,,,,Yes,TPV-016,Utilisation directe de raw sans tenir compte des annotations,"Apprentissage sur signaux pollués, scores instables",EEG / Signal,3 – Possible,4 – Critique,12,,Dropper les epochs marqués bad avant features,Inspecter raw.annotations et epochs.drop_log,,R&D EEG,Pas de review,
,Mauvais mapping entre codes d’événements et labels,Cause: Interprétation erronée de la doc Physionet | Symptômes: Classe 'pied' traitée comme 'main' ou inversement | Détection: Afficher la correspondance event_id et vérifier avec la doc | Prévention: Créer un mapping explicite event_id -> label | Test: Comparer la distribution des labels à celle attendue Physionet,1 – Acquisition données,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-017,Interprétation erronée de la doc Physionet,Classification sur labels incohérents avec la tâche réelle,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Créer un mapping explicite event_id -> label,Afficher la correspondance event_id et vérifier avec la doc,,R&D EEG,Pas de review,
,Téléchargement manuel des fichiers sans script dédié,"Cause: Procédure non documentée pour récupérer les données | Symptômes: Impossible pour un tiers de recréer exactement le dataset | Détection: Chercher un script download_data.py ou section README dédiée | Prévention: Écrire un script ou section 'Data acquisition' complète | Test: Supprimer data/, tout recréer via la procédure documentée",1 – Acquisition données,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-018,Procédure non documentée pour récupérer les données,"Non-reproductibilité forte, difficulté de debug",EEG / Signal,3 – Possible,4 – Critique,12,,Écrire un script ou section 'Data acquisition' complète,Chercher un script download_data.py ou section README dédiée,,R&D EEG,Pas de review,
,Confusion entre microvolts et volts dans les signaux,Cause: Absence de conversion ou doc sur les unités | Symptômes: Valeurs extrêmes (1e-5 vs 100) selon dataset | Détection: Inspecter min/max du signal brut par channel | Prévention: Documenter les unités et normaliser si nécessaire | Test: Comparer histos d’amplitude avant/après normalisation,1 – Acquisition données,Risk,In progress,,,,,Should,,,,,,Yes,TPV-019,Absence de conversion ou doc sur les unités,Thresholds/features non comparables entre sujets,EEG / Signal,3 – Possible,3 – Important,9,,Documenter les unités et normaliser si nécessaire,Inspecter min/max du signal brut par channel,,R&D EEG,Pas de review,
,Aucun try/except autour du parsing MNE,Cause: Assumption que tous les fichiers sont valides | Symptômes: Un fichier corrompu crash tout le pipeline | Détection: Simuler un fichier manquant/corrompu dans data/ | Prévention: Ajouter gestion d’erreurs claire et message explicite | Test: Lancer le script avec un sujet volontairement incomplet,1 – Acquisition données,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-020,Assumption que tous les fichiers sont valides,Runtime cassé au milieu d’un batch d’évaluation,EEG / Signal,2 – Peu probable,4 – Critique,8,,Ajouter gestion d’erreurs claire et message explicite,Simuler un fichier manquant/corrompu dans data/,,R&D EEG,Pas de review,
,Oubli complet de filtrage bande-passante,Cause: Focalisation sur ML sans prétraitement fréquentiel | Symptômes: Raw et filtered plots quasi identiques | Détection: Comparer raw.plot() et filtered.plot() | Prévention: Appliquer un bandpass ~8–40 Hz comme en checklist | Test: Mesurer accuracy avant/après bandpass standard,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-021,Focalisation sur ML sans prétraitement fréquentiel,"Scores instables, surapprentissage, bruit large bande",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Appliquer un bandpass ~8–40 Hz comme en checklist,Comparer raw.plot() et filtered.plot(),,R&D EEG,Pas de review,
,Bande-passante incorrecte (ex: 0.5–60 Hz),"Cause: Copier un exemple générique sans l’adapter à la tâche motrice | Symptômes: Spectrum montre forte énergie hors 8–40 Hz | Détection: Tracer PSD par channel, vérifier concentration énergétique | Prévention: Régler la bande-passante selon MI (8–40 Hz) | Test: Comparer cross_val_score entre config générique et MI",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-022,Copier un exemple générique sans l’adapter à la tâche motrice,"Pertinence réduite pour MI, difficulté à généraliser",EEG / Signal,3 – Possible,4 – Critique,12,,Régler la bande-passante selon MI (8–40 Hz),"Tracer PSD par channel, vérifier concentration énergétique",,R&D EEG,Pas de review,
,Absence de notch 50/60 Hz sur environnement bruité,Cause: Méconnaissance du bruit secteur sur EEG | Symptômes: Pics nets à 50/60 Hz dans PSD post-filtrage | Détection: Inspecter PSD autour de 50/60 Hz | Prévention: Ajouter un notch filter si nécessaire | Test: Comparer résultats avec/ sans notch sur même sujet,2 – Prétraitement / Filtrage,Risk,In progress,,,,,Should,,,,,,Yes,TPV-023,Méconnaissance du bruit secteur sur EEG,"Réduction du SNR, erreurs de classification",EEG / Signal,3 – Possible,3 – Important,9,,Ajouter un notch filter si nécessaire,Inspecter PSD autour de 50/60 Hz,,R&D EEG,Pas de review,
,Fenêtre filtrée trop courte par rapport au filtre,"Cause: Utilisation naïve de filtres FIR/IIR | Symptômes: Artefacts aux bords d’epochs, oscillations artificielles | Détection: Visualiser un epoch filtré avec padding visible | Prévention: Utiliser padding approprié ou filtres adaptés (MNE defaults) | Test: Zoomer sur le début/fin des epochs filtrés",2 – Prétraitement / Filtrage,Risk,In progress,,,,,Should,,,,,,Yes,TPV-024,Utilisation naïve de filtres FIR/IIR,Features dépendantes de bord erronées,EEG / Signal,3 – Possible,3 – Important,9,,Utiliser padding approprié ou filtres adaptés (MNE defaults),Visualiser un epoch filtré avec padding visible,,R&D EEG,Pas de review,
,Filtrage appliqué avant re-référencement inapproprié,Cause: Ordre des opérations non réfléchi | Symptômes: Différences importantes si on inverse re-ref et filtrage | Détection: Comparer deux pipelines: ref->filter vs filter->ref | Prévention: Documenter l’ordre dans le code/README | Test: Reproduire un même sujet avec 2 ordres et comparer scores,2 – Prétraitement / Filtrage,Risk,In progress,,,,,Could,,,,,,Yes,TPV-025,Ordre des opérations non réfléchi,Incohérences entre sujets selon montage initial,EEG / Signal,3 – Possible,2 – Modéré,6,,Documenter l’ordre dans le code/README,Comparer deux pipelines: ref->filter vs filter->ref,,R&D EEG,Pas de review,
,Filtrage appliqué en écrasant le Raw original sans copie,Cause: Optimisation naïve de mémoire | Symptômes: Impossible de revenir au signal brut pour debug/viz | Détection: Vérifier si raw est modifié in-place (MNE defaults) | Prévention: Toujours conserver une version raw initiale pour debug | Test: Ajouter un test unitaire qui compare copies avant/après,2 – Prétraitement / Filtrage,Risk,In progress,,,,,Should,,,,,,Yes,TPV-026,Optimisation naïve de mémoire,Perte d’information pour analyse d’erreurs,EEG / Signal,3 – Possible,2 – Modéré,6,,Toujours conserver une version raw initiale pour debug,Vérifier si raw est modifié in-place (MNE defaults),,R&D EEG,Pas de review,
,Hyperparamètres de filtrage codés en dur partout,Cause: Pas de configuration centralisée ou CLI | Symptômes: Changer la bande-passante nécessite modifier plusieurs fichiers | Détection: Rechercher '8-40' ou fréquences en dur dans le code | Prévention: Centraliser config dans un module ou fichier YAML | Test: Changer la bande-passante et vérifier que tout suit,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-027,Pas de configuration centralisée ou CLI,Risque d’incohérence entre modes train/predict,EEG / Signal,4 – Probable,3 – Important,12,,Centraliser config dans un module ou fichier YAML,Rechercher '8-40' ou fréquences en dur dans le code,,R&D EEG,Pas de review,
,Utilisation de filtres non causaux simulant un futur inaccessible,"Cause: Choix d’options MNE sans considérer temps réel | Symptômes: Prévisions irréalistes en temps réel, latence mal modélisée | Détection: Comparer filtrage causal vs non causal sur un clin d’œil | Prévention: Adapter la config de filtrage pour réalisme temps réel | Test: Simuler une chaîne temps réel avec streaming MNE",2 – Prétraitement / Filtrage,Risk,In progress,,,,,Should,,,,,,Yes,TPV-028,Choix d’options MNE sans considérer temps réel,Risque de triche 'involontaire' sur contrainte <2s,EEG / Signal,2 – Peu probable,4 – Critique,8,,Adapter la config de filtrage pour réalisme temps réel,Comparer filtrage causal vs non causal sur un clin d’œil,,R&D EEG,Pas de review,
,Paramètres de filtre provoquant instabilité numérique,"Cause: Choix de très haut ordre de filtre ou IIR mal conçu | Symptômes: NaNs ou infs après filtrage, warnings MNE ignorés | Détection: Activer warnings MNE et vérifier NaN/inf après filtres | Prévention: Utiliser les recommandations MNE par défaut | Test: Test unitaire: assert not np.isnan(filtered)._any()",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-029,Choix de très haut ordre de filtre ou IIR mal conçu,Données inutilisables pour features,EEG / Signal,2 – Peu probable,4 – Critique,8,,Utiliser les recommandations MNE par défaut,Activer warnings MNE et vérifier NaN/inf après filtres,,R&D EEG,Pas de review,
,Filtres configurés différemment entre train et predict,Cause: Code dupliqué avec paramètres divergents | Symptômes: Distribution des features différente en production | Détection: Comparer les pipelines serialisés entre train/predict | Prévention: Factoriser le pipeline dans un seul objet sklearn | Test: Sauvegarder/charger le pipeline complet via joblib,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-030,Code dupliqué avec paramètres divergents,Chute d’accuracy en mode predict vs cross_val_score,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Factoriser le pipeline dans un seul objet sklearn,Comparer les pipelines serialisés entre train/predict,,R&D EEG,Pas de review,
,Décalage constant entre events et signal (offset mal géré),Cause: Confusion entre temps absolu et index d’échantillon | Symptômes: Epochs centrés avant ou après le vrai mouvement | Détection: Comparer courbes stimulus vs epochs (MNE.plot_events) | Prévention: Toujours convertir events en samples via sfreq | Test: Simuler un offset +10 samples et mesurer chute d’accuracy,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-031,Confusion entre temps absolu et index d’échantillon,"Apprentissage sur mauvaises fenêtres, accuracy plafonne",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Toujours convertir events en samples via sfreq,Comparer courbes stimulus vs epochs (MNE.plot_events),,R&D EEG,Pas de review,
,Fenêtre trop courte pour couvrir la réponse motrice,Cause: Choix arbitraire d’une durée trop faible | Symptômes: Perte d’information dans les bandes mu/bêta post-stimulus | Détection: Visualiser moyenne temporelle par classe sur plusieurs epochs | Prévention: Ajuster tmin/tmax en fonction de la littérature MI | Test: Tester plusieurs durées d’epoch et comparer cross_val_score,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-032,Choix arbitraire d’une durée trop faible,Modèle ne capte pas le pattern MI complet,EEG / Signal,3 – Possible,4 – Critique,12,,Ajuster tmin/tmax en fonction de la littérature MI,Visualiser moyenne temporelle par classe sur plusieurs epochs,,R&D EEG,Pas de review,
,Non prise en compte de trials où le sujet n’a pas respecté la consigne,Cause: Considération naïve de tous les essais comme corrects | Symptômes: Certains epochs sont impossibles à classer même pour un humain | Détection: Comparer courbes individuelles et repérer trials aberrants | Prévention: Mettre en place un filtrage basique des trials extrêmes | Test: Retirer 5% des trials à amplitude extrême et re-mesurer score,2 – Prétraitement / Filtrage,Risk,In progress,,,,,Could,,,,,,Yes,TPV-033,Considération naïve de tous les essais comme corrects,Plafond théorique d’accuracy plus bas que 100%,EEG / Signal,2 – Peu probable,3 – Important,6,,Mettre en place un filtrage basique des trials extrêmes,Comparer courbes individuelles et repérer trials aberrants,,R&D EEG,Pas de review,
,Erreur de reshape ch×freq dans les features PSD,"Cause: Manipulation manuelle de np.reshape sans vérifier dimensions | Symptômes: Features mélangent canaux et fréquences | Détection: Afficher shape avant/après reshape, vérifier ordre axes | Prévention: Utiliser des fonctions helpers claires pour construire X | Test: Test unitaire: vérifier que chaque feature mappe un (ch,freq) unique",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-034,Manipulation manuelle de np.reshape sans vérifier dimensions,CSP/Classifier reçoivent des patterns incohérents,Model,3 – Possible,5 – Catastrophique,15,,Utiliser des fonctions helpers claires pour construire X,"Afficher shape avant/après reshape, vérifier ordre axes",,Pipeline ML,Pas de review,
,Fenêtres glissantes chevauchantes non cohérentes entre sujets,Cause: Hardcoding d’offsets dépendant de la durée brute | Symptômes: Certaines epochs produisent plus de fenêtres que d’autres | Détection: Vérifier nombre de fenêtres par epoch sur plusieurs sujets | Prévention: Définir une règle générale en secondes puis convertir avec sfreq | Test: Comparer distributions de features entre sujets après normalisation,3 – Features / ICA,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-035,Hardcoding d’offsets dépendant de la durée brute,"X hétérogène, errors de shape ou padding ad hoc",Model,3 – Possible,4 – Critique,12,,Définir une règle générale en secondes puis convertir avec sfreq,Vérifier nombre de fenêtres par epoch sur plusieurs sujets,,Pipeline ML,Pas de review,
,Standardisation faite globalement sur train+test,"Cause: Utilisation de StandardScaler.fit sur tout le dataset | Symptômes: Leakage massif, scores cross_val_score surévalués | Détection: Inspecter où est appelé fit() du scaler dans le pipeline | Prévention: Mettre scaler dans sklearn.Pipeline avant réduction/CLF | Test: Utiliser cross_val_score sur pipeline complet, pas sur X transformé",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-036,Utilisation de StandardScaler.fit sur tout le dataset,Performance réelle en test sujet non vu catastrophique,Model,4 – Probable,5 – Catastrophique,20,,Mettre scaler dans sklearn.Pipeline avant réduction/CLF,Inspecter où est appelé fit() du scaler dans le pipeline,,Pipeline ML,Pas de review,
,Covariance estimée sur trop peu d’epochs par classe,Cause: Découpage abusif en petits sous-ensembles | Symptômes: np.linalg.LinAlgError lors de l’inversion/diag | Détection: Logger nombre d’epochs/classe avant estimation covariance | Prévention: Imposer un minimum de trials par classe ou régulariser | Test: Réduire nombre de filtres CSP et vérifier stabilité,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-037,Découpage abusif en petits sous-ensembles,Algorithme CSP/CCA casse en plein entraînement,Model,3 – Possible,5 – Catastrophique,15,,Imposer un minimum de trials par classe ou régulariser,Logger nombre d’epochs/classe avant estimation covariance,,Pipeline ML,Pas de review,
,Matrice de projection W recalculée différemment en predict,Cause: Séparation des chemins train/predict sans persistance | Symptômes: Distribution des features différente entre train et prod | Détection: Vérifier que W est sérialisée avec le pipeline complet | Prévention: Stocker réduction+clf dans un seul objet sklearn Pipeline | Test: Sauvegarder/charger joblib du pipeline et comparer sorties,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-038,Séparation des chemins train/predict sans persistance,Accuracy correcte en cross_val_score mais mauvaise en predict,Model,4 – Probable,5 – Catastrophique,20,,Stocker réduction+clf dans un seul objet sklearn Pipeline,Vérifier que W est sérialisée avec le pipeline complet,,Pipeline ML,Pas de review,
,Confusion entre vecteurs propres colonne/ligne,"Cause: Transposition oubliée dans la projection | Symptômes: Variance expliquée incohérente, patterns non interprétables | Détection: Comparer eigenvalues/variance expliquée à sklearn.PCA | Prévention: Écrire tests qui comparent avec une implémentation de référence | Test: Appliquer PCA maison vs sklearn sur un toy dataset connu",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-039,Transposition oubliée dans la projection,Perte d’information ou projections absurdes,Model,3 – Possible,4 – Critique,12,,Écrire tests qui comparent avec une implémentation de référence,Comparer eigenvalues/variance expliquée à sklearn.PCA,,Pipeline ML,Pas de review,
,Appels manuels successifs fit_transform/fit,Cause: Subject §V.1.2 demande un sklearn.Pipeline | Symptômes: Risque d’incohérence entre ordre train/predict | Détection: Refactoriser en un pipeline unique : scaler->réduction->clf | Prévention: Utiliser cross_val_score directement sur le pipeline | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-040,Subject §V.1.2 demande un sklearn.Pipeline,"Rechercher 'Pipeline(' dans le code, vérifier présence",Model,3 – Possible,4 – Critique,12,,Utiliser cross_val_score directement sur le pipeline,Refactoriser en un pipeline unique : scaler->réduction->clf,,Pipeline ML,Pas de review,
,Classe de réduction ne respecte pas fit/transform standard,"Cause: Méthodes avec signatures custom et side effects | Symptômes: Impossible d’utiliser la classe dans un Pipeline sklearn | Détection: Vérifier héritage baseEstimator/TransformerMixin | Prévention: Suivre la contract sklearn (fit, transform, fit_transform) | Test: Écrire un test sklearn.check_estimator sur la classe",4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-041,Méthodes avec signatures custom et side effects,"Feature clé du subject manquante, debug compliqué",Model,3 – Possible,4 – Critique,12,,"Suivre la contract sklearn (fit, transform, fit_transform)",Vérifier héritage baseEstimator/TransformerMixin,,Pipeline ML,Pas de review,
